date,forecast_1,forecast_2,diff
3/20/20,63,135,0
3/21/20,76,153,0
3/22/20,90,173,0
3/23/20,108,195,0
3/24/20,129,202,0
3/25/20,155,248,0
3/26/20,185,279,0
3/27/20,221,313,0
3/28/20,264,351,0
3/29/20,315,393,0
3/30/20,375,439,0
3/31/20,448,489,0
4/1/20,533,543,0
4/2/20,635,602,33
4/3/20,755,665,90
4/4/20,896,732,164
4/5/20,1063,803,260
4/6/20,1257,876,381
4/7/20,1485,953,532
4/8/20,1749,1030,719
4/9/20,2053,1108,945
4/10/20,2402,1186,1216
4/11/20,2798,1261,1537
4/12/20,3245,1332,1913
4/13/20,3741,1398,2343
4/14/20,4286,1457,2829
4/15/20,4875,1508,3367
4/16/20,5499,1550,3949
4/17/20,6146,1580,4566
4/18/20,6800,1600,5200
4/19/20,7440,1607,5833
4/20/20,8043,1603,6440
4/21/20,8584,1587,6997
4/22/20,9039,1560,7479
4/23/20,9386,1523,7863
4/24/20,9609,1478,8131
4/25/20,9698,1424,8274
4/26/20,9652,1365,8287
4/27/20,9476,1301,8175
4/28/20,9184,1233,7951
4/29/20,8793,1163,7630
4/30/20,8323,1092,7231
5/1/20,7798,1021,6777
5/2/20,7236,951,6285
5/3/20,6659,883,5776
5/4/20,6082,817,5265
5/5/20,5518,753,4765
5/6/20,4978,693,4285
5/7/20,4468,636,3832
5/8/20,3992,582,3410
5/9/20,3553,532,3021
5/10/20,3152,485,2667
5/11/20,2789,442,2347
5/12/20,2461,402,2059
5/13/20,2167,365,1802
5/14/20,1905,331,1574
5/15/20,1672,300,1372
5/16/20,1465,272,1193
5/17/20,1283,246,1037
5/18/20,1122,222,900
5/19/20,980,201,779
5/20/20,856,181,675
5/21/20,747,163,584
5/22/20,651,147,504
5/23/20,568,133,435
5/24/20,494,119,375
5/25/20,431,108,323
5/26/20,375,97,278
5/27/20,326,87,239
5/28/20,284,78,206
5/29/20,247,71,176
5/30/20,215,63,152
5/31/20,187,57,130
